"""One man with courage makes a majority.""","""One man with courage makes a majority."","
"""He who conquers himself is the mightiest warrior.""","""He who conquers himself is the mightiest warrior."","
"""It is better to fail in originality than to succeed in imitation.""","""It is better to fail in originality than to succeed in imitation."","
"""Success usually comes to those who are too busy looking for it.""","""Success usually comes to those who are too busy looking for it."","
"""A witty woman is a treasure; a witty beauty is a power.""","""A witty woman is a treasure; a witty beauty is a power."","
"""Alone we can do so little, together we can do so much.""","""Alone we can do so little, together we can do so much."","
"""I invite everyone to choose forgiveness rather than division, teamwork over personal ambition.""","""I invite everyone to choose forgiveness rather than division, teamwork over personal ambition."","
"""A man who has committed a mistake and doesn’t correct it is committing another mistake.""","""A man who has committed a mistake and doesn’t correct it is committing another mistake."","
"""No woman wants to be in submission to a man who isn’t in submission to God!""","""No woman wants to be in submission to a man who isn’t in submission to God!"","
"""I always wanted to be somebody, but now I realise I should have been more specific.""","""I always wanted to be somebody, but now I realise I should have been more specific."","
"""The elevator to success is out of order. You’ll have to use the stairs, one step at a time.""","""The elevator to success is out of order. You’ll have to use the stairs, one step at a time."","
"""Remember, teamwork begins by building trust. And the only way to do that is to overcome our need for invulnerability.""","""Remember, teamwork begins by building trust. And the only way to do that is to overcome our need for invulnerability."","
"""The strongest actions for a woman is to love herself, be herself and shine amongst those who never believed she could.""","""The strongest actions for a woman is to love herself, be herself and shine amongst those who never believed she could."","
"""It took me quite a long time to develop a voice, and now that I have it, I am not going to be silent.""","""It took me quite a long time to develop a voice, and now that I have it, I am not going to be silent."","
"""Success is peace of mind, which is a direct result of self-satisfaction in knowing you made the effort to become the best of which you are capable.""","""Success is peace of mind, which is a direct result of self-satisfaction in knowing you made the effort to become the best of which you are capable."","
"""We need women at all levels, including the top, to change the dynamic, reshape the conversation, to make sure women’s voices are heard and heeded, not overlooked and ignored.""","""We need women at all levels, including the top, to change the dynamic, reshape the conversation, to make sure women’s voices are heard and heeded, not overlooked and ignored."","
"""You’ll find that education is just about the only thing lying around loose in this world, and it’s about the only thing a fellow can have as much of as he’s willing to haul away.""","""You’ll find that education is just about the only thing lying around loose in this world, and it’s about the only thing a fellow can have as much of as he’s willing to haul away."","
"""Some women choose to follow men, and some choose to follow their dreams. If you’re wondering which way to go, remember that your career will never wake up and tell you that it doesn’t love you anymore.""","""Some women choose to follow men, and some choose to follow their dreams. If you’re wondering which way to go, remember that your career will never wake up and tell you that it doesn’t love you anymore."","
"""Nothing in the world can take the place of Persistence. Talent will not; nothing is more common than unsuccessful men with talent. Genius will not; unrewarded genius is almost a proverb. Education will not; the world is full of educated derelicts. The slogan 'Press On' has solved and always will solve the problems of the human race.""","""Nothing in the world can take the place of Persistence. Talent will not; nothing is more common than unsuccessful men with talent. Genius will not; unrewarded genius is almost a proverb. Education will not; the world is full of educated derelicts. The slogan 'Press On' has solved and always will solve the problems of the human race."","
"""Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it.""","""Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it."","
